Title,Price,Rating,Image,Type
"Lenovo IdeaPad Slim 5 AMD Ryzen AI 7 350 (24GB RAM/1TB SSD/14 (35.5cm)/WUXGA OLED/Lenovo AI Now/Copilot+ PC/Windows 11/MSO 365 Basic+Office 2024/1Yr ADP Free/Grey/1.4Kg), 83HX009DIN AI Laptop","92,990",5.0 out of 5 stars,https://m.media-amazon.com/images/I/7171vpsyluL._AC_UY218_.jpg,Organic
"Dell Inspiron 5440 Notebook Computer, Intel Core 3 100U 14th Gen Processor, 8GB DDR5 RAM, 512GB SSD, 14"" FHD+ Screen, Ubuntu, 1Yr Warranty, Ice Blue","43,350",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61TpeOfqRjL._AC_UY218_.jpg,Organic
"HP Smartchoice Victus, 13th Gen i7-13620H, 6GB RTX 4050, 16GB DDR4(Upgradeable) 512GB SSD, 144Hz, 300nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.3kg, fa2100/03/04tx, Gaming Laptop","1,03,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71LuS4x7L8L._AC_UY218_.jpg,Organic
"acer Aspire 14, 13th Gen, Intel Core i7-13620H Processors, 16 GB RAM, 512 GB SSD, Full HD IPS, 14""/35.56 cm, Windows 11 Home, MSO, Pure Silver, 1.44 kg, AS14H-53, Backlit KB, Thin and Light Laptop","65,990",3.7 out of 5 stars,https://m.media-amazon.com/images/I/71SC8V59NjL._AC_UY218_.jpg,Organic
"ASUS Gaming V16 (2025) 14th Gen,Intel Core 7 240H Gaming Laptop (RTX 4050-6GB/16GB RAM/512GB SSD/Windows 11 Home/16/144Hz/M365*/Office Home 2024, Matte Black,1.95 Kg),V3607VU-RP275WS","92,990",4.4 out of 5 stars,https://m.media-amazon.com/images/I/71YeigfZCuL._AC_UY218_.jpg,Organic
"ASUS Vivobook 14, (i5 14th Gen) Intel Core 5 120U, Thin & Light Laptop(16GB RAM/512GB SSD/FHD/14/60Hz/Fingerprint Reader/M365 Basic (1Year)*/Office Home 2024/Quiet Blue/1.4 Kg) X1404VAP-EB1542WS","61,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61O2P+m2gIL._AC_UY218_.jpg,Organic
"acer Predator Helios 16 AI, Intel Core Ultra 9 Processor,RTX 5090-24 GB GDDR7,32 GB/1 TB, WQXGA OLED, 16.0""/40.64 cm, 240Hz, Win 11 Home, Abyssal Black, 2.65 kg, PH16-73, RGB KB, Gaming Laptop","4,48,999",3.2 out of 5 stars,https://m.media-amazon.com/images/I/51q3f4NuyIL._AC_UY218_.jpg,Organic
"MSI Raider 18, Intel Series 2 Core Ultra 9 285HX, 46cm UHD+ 120Hz Gaming Laptop (64GB/4TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 5090, GDDR7 24GB/Core Black/3.6Kg) A2XWJG-253IN","4,99,990",3.0 out of 5 stars,https://m.media-amazon.com/images/I/71oTMGyCbhL._AC_UY218_.jpg,Organic
"HP 14, AMD Ryzen 7 7730U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 14''/35.6cm, Win11, M365 Basic(1yr), Office Home24, Silver,1.4kg, EM0104AU, FHD Camera w/Privacy Shutter, Backlit Laptop","62,990",5.0 out of 5 stars,https://m.media-amazon.com/images/I/71ebUd+L7LL._AC_UY218_.jpg,Ad
"Lenovo Smartchoice Ideapad Slim 3, 13th Gen Intel Core i7 13620H, 16GB RAM, 512GB SSD, WUXGA IPS, 15.3""/38.8cm, Win 11, Office 2024, Top Metal Cover Grey, 1.6Kg, 83K100CJIN/S1IN, Backlit KB, Laptop","76,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71IjxF4prWL._AC_UY218_.jpg,Ad
